Strain	mean
JU2572	-0.02944792370823549
JU2576	-0.15872499119835476
JU2578	0.052415850274734103
JU258	-0.13661134204149805
JU2587	-0.04096286548724781
JU2592	0.018758717433780044
JU2610	-0.06061301465383856
JU2800	-0.11504624292791117
JU2811	-0.12549353151060477
JU2838	0.025313312016023597
JU2862	-0.22755892307318615
JU2866	-0.06325571451366241
JU2879	0.05602149227028227
JU2906	0.06527658659896368
JU310	0.015748204852074055
JU3127	0.03760543904121874
JU3128	-0.019378347662639347
JU3132	0.045576447970884365
JU3134	0.038126344676634644
JU3135	-0.0019428615423863844
JU3137	-0.0413839579580154
JU3140	-0.06928994331884833
JU3141	-8.184383470948052e-4
JU3144	-0.007039323735395562
JU3224	0.033564722169023994
JU3225	0.010317828333336923
JU323	0.011757847375101122
JU3291	-0.18605053354773657
JU3318	-0.029929817288325843
JU346	-0.046812333155238556
JU4047	0.02426311862799424
JU4098	-0.009945747746417327
JU774	-0.008348356035666634
JU775	-0.0452754312059922
JU792	-0.1707239447571906
LKC34	0.03427730750967415
MY1	0.04072367598370054
MY16	-0.08455627945909878
MY2453	-0.02226972019563708
MY2530	0.0036505404794280275
MY2535	0.03219292342779282
MY2693	0.014472503806252817
MY2741	-0.01475097199188294
MY518	0.016093381016755868
MY679	0.011871329017027832
MY772	-0.03472828018318569
MY795	-0.008141395996449696
N2	0.060368350588910165
NIC1	0.025690922686357653
NIC1049	0.004060203168396647
NIC166	0.09801307076825337
NIC1779	-0.021929612328986922
NIC1783	-0.06636369533846932
NIC1786	-0.17345453464067948
NIC1791	-0.07476216276479447
NIC1794	-0.13800005867345966
NIC1798	0.008945287631196033
NIC1799	-0.19523547562847274
NIC1808	-0.02599915018428316
NIC1809	-0.14923866219987772
NIC1810	-0.09373751021497166
NIC1811	-0.019970494287182415
NIC1812	-0.0780014187087969
NIC2	0.04249988918224789
NIC207	0.04629926920688065
NIC252	-0.06774642811409597
NIC255	0.03476521827235983
NIC258	0.02506557878261008
NIC259	-0.012619201935318904
NIC260	-0.02274665462238941
NIC262	-0.022835896024663044
NIC267	0.0539583461420731
NIC272	-0.004549344615981911
NIC275	0.06407604171885842
NIC3	-0.04230035099457434
NIC501	-0.044566808046802624
NIC514	0.012100089177699195
NIC515	-0.018519890336644633
NIC523	-0.011605977021662224
NIC526	0.013312770687746842
NIC528	0.0274130365484383
NIC529	0.043022091573813995
PB303	-0.013684697805549942
PB306	-0.009727435108455538
PX179	0.010525224146005985
QG2811	-0.0031098435986353186
QG2827	0.04840866854785074
QG2828	-0.002295038053296501
QG2832	-0.05117007670912745
QG2835	0.007780429364513373
QG2837	-0.01151899922239769
QG2841	0.046778655895701994
QG2854	0.0508859100251528
QG2855	-0.017819884594530835
QG2873	-0.012235151534041231
QG2874	0.025561432986026738
QG4003	0.04668678070021918
QG4008	-0.012282977036151561
QG4017	-0.02082775097920867
QG4018	-0.018112134151339932
QG4080	0.014435441667624564
QG4103	-0.01608569106768468
QG4135	-0.007968613492573747
QG4138	-0.018390384206757163
QG4228	0.036876429365035046
QG557	-0.02326107485636068
QW947	-0.08566533584528921
RC301	0.020635959063968295
WN2001	-0.1014609823019907
WN2050	0.06936963148530784
WN2064	0.018999514718257584
WN2066	0.04288728618162097
WN2069	0.00800274241899443
WN2082	-0.0782963152842643
WN2086	-0.0038341003676838877
XZ1515	-0.06937547276697398
XZ1516	0.04351239458819382
XZ1672	0.06222029843150312
XZ1735	0.04686573949113639
XZ2018	0.038242246594450024
