""	peer1	peer2	peer3	peer4	peer5	peer6	peer7	peer8	peer9	peer10	peer11	peer12	peer13	peer14	peer15	peer16	peer17	peer18	peer19	peer20	peer21	peer22
Fam104_Clone1_Pass20	1	-0.264105021953583	-0.339260250329971	-0.313210040330887	-2.190349817276	-2.19010376930237	-0.225970104336739	-0.319958359003067	0.264490485191345	-0.546559929847717	0.308503031730652	0.138470157980919	0.440924257040024	0.000152530090417713	0.891322433948517	-0.448521763086319	-0.748079299926758	0.278813451528549	0.503240704536438	0.38947406411171	-0.115820400416851	-0.329429417848587
Fam67_Clone5_Pass26	1	0.0833400338888168	-0.430516809225082	-0.107027858495712	1.21990275382996	1.42929399013519	1.02250456809998	-1.79549884796143	0.790175437927246	1.43955612182617	0.638511717319489	-2.46428442001343	-1.11526191234589	-1.0548015832901	0.487232595682144	0.229238852858543	0.0537508465349674	-0.843907952308655	-0.0641859099268913	1.14488458633423	-0.13596773147583	0.213452979922295
Fam106_Clone2_Pass19	1	-0.124519690871239	-0.335605293512344	-0.290098398923874	0.486540853977203	-2.0664050579071	0.980508387088776	-0.812638521194458	0.0502808652818203	-0.324373155832291	1.15397036075592	1.74056375026703	0.967058777809143	0.115620724856853	0.58925861120224	-0.582091093063355	-0.817715585231781	-0.363925993442535	-0.934299290180206	-0.396269649267197	-0.483674496412277	-0.533428847789764
Fam83_Clone6_Pass33	1	0.0543172024190426	-0.119471423327923	0.200700625777245	0.642694771289825	-1.45935952663422	-0.405509471893311	0.112281680107117	-1.79090118408203	1.70831453800201	0.575230777263641	-0.897192776203156	-0.285581231117249	0.140068158507347	-0.232205852866173	0.261400312185288	0.0873703211545944	-1.1097377538681	0.343827426433563	0.736243665218353	0.397886008024216	0.64091831445694
Fam2_Clone2_Pass33	1	0.136043399572372	0.162641152739525	-0.948816359043121	0.0332129262387753	0.981139540672302	-1.79059755802155	0.239020854234695	-1.08887124061584	-0.634704887866974	-0.163140624761581	-0.150243535637856	1.47971379756928	1.68950092792511	0.655849874019623	0.671574413776398	-0.739128947257996	0.981224656105042	0.129824548959732	-0.0343594700098038	-0.0262458324432373	0.168626174330711
Fam3_Clone2_Pass21	1	-0.0601822733879089	-0.266265630722046	-0.343801885843277	-0.407185941934586	-1.12213623523712	-0.694375157356262	-0.13562422990799	0.536455035209656	0.734277069568634	-0.793067157268524	-0.178205952048302	0.819124221801758	0.35750886797905	0.493211150169373	-0.417801141738892	-0.12017960101366	-0.687885105609894	1.2228068113327	-0.0123481890186667	-0.236927211284637	0.183172732591629
Fam22_Clone5_Pass23	1	0.157424986362457	0.663327097892761	1.04399001598358	-0.450254321098328	0.0812400579452515	1.05701243877411	-0.80985414981842	0.847974240779877	-1.75781691074371	0.789440333843231	-0.743868708610535	0.367541462182999	-0.528716802597046	-0.901745915412903	0.588901162147522	0.225220233201981	0.0582203045487404	-0.565229058265686	1.20980310440063	0.870133101940155	-1.00977981090546
Fam1_Clone5_Pass19	1	-0.181090354919434	0.306278467178345	-0.666349172592163	-0.650417447090149	-0.585304319858551	0.901706218719482	0.891493499279022	0.449790686368942	-0.98055773973465	0.504831671714783	1.14292585849762	-0.203616082668304	-0.339961916208267	-0.301263689994812	0.0688140019774437	0.282206594944	-0.159266799688339	-0.25235590338707	0.540383517742157	0.422899395227432	0.424086660146713
Fam30_Clone3_Pass24	1	-0.246789440512657	-0.184456929564476	0.693628072738648	0.558061480522156	0.129836231470108	-0.941371619701385	0.0427752584218979	-0.0643355473876	-1.21158027648926	-1.25341033935547	-0.0157670620828867	0.766598522663117	-0.499756067991257	-1.24751257896423	-0.195542186498642	-0.40412375330925	-0.984828472137451	0.179022282361984	-0.965165615081787	-0.406456291675568	-0.308993220329285
Fam70_Clone6_Pass22	1	-0.232363075017929	0.324183791875839	0.824710786342621	0.36447075009346	0.242042869329453	-0.42473641037941	0.937804102897644	0.720197021961212	-0.11570880562067	0.2369574457407	-0.544559299945831	0.983049333095551	-0.0680941268801689	-0.185136407613754	0.204081431031227	-0.827214598655701	1.04075825214386	0.273877710103989	-0.00201370217837393	-0.95121169090271	-0.452183932065964
Fam103_Clone4_Pass21	1	0.00381085532717407	-0.130848929286003	0.378369688987732	0.82911628484726	1.00605010986328	-1.11774933338165	0.321562469005585	-0.421139001846314	0.423475831747055	-0.661376655101776	0.801734149456024	0.297306478023529	0.141649916768074	-0.504151403903961	-0.972513616085052	1.81430900096893	-1.29171502590179	-0.119557984173298	1.75264024734497	0.0222772117704153	-0.0615446381270886
Fam51_Clone4_Pass23	1	-0.0393859781324863	0.0501653701066971	0.479077816009522	0.662441968917847	-1.02579653263092	-1.32094991207123	1.47841465473175	-0.164681032299995	0.254716813564301	1.63266003131866	0.661231398582459	-0.376110762357712	-0.132292777299881	-0.495733797550201	-0.522375404834747	0.377751499414444	-0.0479761399328709	-0.758037805557251	0.533674597740173	-0.586752772331238	0.0987241566181183
Fam19_Clone7_Pass39	1	-0.263917148113251	0.294509947299957	-0.0892284736037254	-0.62473851442337	1.12836158275604	-1.80367863178253	-1.39184141159058	-1.00750589370728	-0.251938283443451	-1.44763803482056	1.12916219234467	-0.00564527418464422	-0.657971978187561	-1.59229588508606	-0.493369936943054	-1.388139128685	-0.224705010652542	0.922785997390747	-0.281894624233246	-0.0699449330568314	-0.254741191864014
Fam18_Clone4_Pass23	1	-0.163046762347221	0.281870573759079	0.245043873786926	-0.0452633276581764	0.472459346055985	0.641585230827332	1.345831990242	0.39548471570015	-1.14556264877319	-0.216365039348602	-0.679777204990387	-1.00893461704254	1.90869808197021	-0.766521215438843	-0.227641835808754	-0.166820093989372	0.224947839975357	0.902566134929657	0.0953919589519501	0.845124244689941	-0.0863744840025902
Fam93_Clone1_Pass19	1	0.0803131833672524	-0.809351444244385	0.0687348544597626	-1.75000405311584	1.26302146911621	-0.666856288909912	1.93382573127747	2.2692174911499	-0.672774195671082	0.240363508462906	0.880205273628235	-0.59928685426712	0.688501179218292	0.531301975250244	0.514476358890533	-0.00966945569962263	-0.132670626044273	0.582774639129639	1.16058564186096	0.0200765822082758	0.520162642002106
Fam1_Clone2_Pass21	1	0.324858069419861	0.432736456394196	0.141767367720604	0.117332756519318	0.23288406431675	-0.596731722354889	-2.05609631538391	-0.0884256362915039	-0.242172285914421	-0.0237458553165197	0.195150285959244	-0.159045860171318	-0.364428907632828	1.29960119724274	0.240103900432587	1.06533074378967	-0.355010688304901	0.308192104101181	0.397375613451004	0.242543503642082	0.243472531437874
Fam58_Clone6_Pass23	1	-0.278174757957459	0.329737633466721	-0.456709533929825	0.230544805526733	0.215314522385597	1.38029539585114	-0.582823097705841	1.00576019287109	1.64128494262695	-0.891843616962433	0.513037085533142	-0.421538263559341	0.579918265342712	0.0529518872499466	-0.378746867179871	-1.13184583187103	1.05081427097321	1.00545394420624	0.126343756914139	-0.0990354344248772	0.470104247331619
