""	peer1	peer2	peer3	peer4	peer5	peer6	peer7	peer8	peer9	peer10	peer11	peer12	peer13	peer14	peer15	peer16	peer17	peer18	peer19	peer20
X10cc9a25.9370.4312.a854.e0975e1b924a	1	-0.0153710786253214	-0.0817350670695305	-0.00432804832234979	-0.00155684887431562	-0.00587890995666385	-0.00636989437043667	0.179799482226372	0.603055894374847	-1.08840191364288	1.40423882007599	-0.291284650564194	0.214883521199226	-0.957948446273804	0.407230257987976	-0.289347231388092	1.6317173242569	0.0373958274722099	-0.348811030387878	-0.0513265244662762
X0073dd85.3df4.44c0.a33a.16bf9ff5cae5	1	-0.0164970327168703	-0.0219143275171518	-0.00259547401219606	0.000891818082891405	-0.000425135163823143	-0.0143787348642945	0.0388613529503346	0.318503230810165	-0.316092729568481	0.887030363082886	0.528607130050659	1.84634077548981	0.818450808525085	-0.487672090530396	0.841103494167328	-2.32713603973389	-0.043204702436924	0.584738731384277	-0.650417864322662
X1630b5ee.a28d.4014.889a.70ea678cadcf	1	-0.019246032461524	0.0398879088461399	0.000265183392912149	0.00152083905413747	-0.00354890921153128	-0.00260403635911644	0.451581329107285	0.180165782570839	0.0826258435845375	-0.194418638944626	-0.144821435213089	0.527498245239258	0.157509669661522	-0.241091877222061	-0.0477377101778984	-0.382018774747849	0.431952297687531	1.38530313968658	0.436347246170044
X9625b848.26f1.4925.bdcd.93c954b831a4	1	-0.0159469395875931	0.0361251160502434	0.00117502524517477	0.00339305517263711	-0.00233492604456842	-0.000850085227284581	-0.0476181097328663	-0.168870076537132	0.732253849506378	-0.529388010501862	-0.173399657011032	0.546016573905945	0.044872522354126	0.624903321266174	-0.14048632979393	-0.415889441967011	0.238305598497391	1.1441924571991	-0.259960174560547
b2288cb3.32ba.4166.804c.5937aafba9d3	1	-0.0198119878768921	-0.168079704046249	-0.000785853248089552	-0.00745160784572363	-0.00733643863350153	-0.00876188650727272	-0.729488968849182	-0.0776949301362038	-0.846952438354492	-1.97680675983429	0.481248170137405	0.247175067663193	-0.0138221811503172	-0.405044227838516	-1.07925081253052	-0.762539446353912	1.41930651664734	0.891443073749542	-0.981684744358063
X3914a3f4.f488.4b8f.a935.31d452377b64	1	-0.0178422760218382	-0.0170603152364492	-0.000473215302918106	-0.000321693747537211	-0.00366449751891196	-0.0139544503763318	-0.352139949798584	-0.0752613246440888	0.674652218818665	-0.679398655891419	0.614669382572174	0.572864353656769	-0.745139420032501	0.481723040342331	-0.041352704167366	-0.466108947992325	0.169342145323753	1.85407865047455	0.243068143725395
a1a72f64.dc40.4aca.a727.9b86203fb0c9	1	-0.00982785876840353	-0.0342242419719696	-0.00211135391145945	-0.000346602464560419	-0.00536408042535186	-0.00530676497146487	-0.347975850105286	-0.739321053028107	0.98889023065567	0.78477942943573	0.601564228534699	-4.88593435287476	0.733371794223785	-0.526372253894806	-4.28783321380615	-2.2587902545929	1.40625751018524	1.55096733570099	0.183079868555069
b4ba4113.c8c6.4154.be76.e04d75a23a0d	1	-0.0153701072558761	0.0610495395958424	5.95738165429793e-05	0.00110111967660487	-0.0019344761967659	0.00102686730679125	-0.802207171916962	-5.36490678787231	-2.76143980026245	-3.13438582420349	1.78786063194275	-0.48715204000473	-1.30208039283752	-2.19586586952209	0.48118668794632	0.994986474514008	-4.81488180160523	2.07927131652832	-1.18633818626404
X5b813c05.aa0e.445d.b7d4.f2c56a880ebd	1	-0.0155386971309781	0.0350082144141197	0.000651779875624925	0.00273585715331137	-0.00299288192763925	-0.00322741456329823	0.162038087844849	0.198184624314308	-0.121212229132652	-0.387556105852127	-0.559967637062073	-0.0175175592303276	-1.69092059135437	-0.315452724695206	-0.0486968383193016	0.861895024776459	0.0674711242318153	0.362654387950897	0.634301602840424
X81d029df.f95e.4ad9.9a0f.bed24e1a0065	1	-0.0168640222400427	0.032501544803381	-0.000230531295528635	0.00466646486893296	-0.00410445360466838	-0.00584999658167362	-0.234875395894051	0.470130115747452	0.865170359611511	-0.924828171730042	0.0640355497598648	0.102099724113941	-0.0963558256626129	0.494169145822525	-0.408118724822998	-0.222334876656532	-0.213004812598228	-0.257332623004913	-0.0562803633511066
X0b840cfa.5821.4380.833f.d4acf3426d3c	1	-0.0135048488155007	-0.0152893299236894	-0.00100665434729308	0.00148203305434436	-0.00388451362960041	-0.0105411959812045	0.318457990884781	0.777006924152374	0.106406711041927	-0.789313733577728	-0.180041030049324	-0.10352623462677	-1.49902272224426	-0.494735032320023	-0.184392958879471	0.465068280696869	-0.146725833415985	0.0923806875944138	0.125233709812164
X0fbece6e.5e15.4d2c.9a8e.bcbe76238ae6	1	-0.0192014519125223	-0.0316441990435123	0.0061153513379395	-0.000846164242830128	-0.00234274612739682	-0.00484995543956757	-0.671011209487915	-0.0158190503716469	0.902634382247925	-0.903795599937439	-0.907021045684814	0.384940415620804	-1.70547211170197	0.146821320056915	0.990968406200409	0.641204953193665	0.975513756275177	1.77108204364777	-1.67457735538483
b8cc18ad.cdbd.4bde.ae31.7bb3cc42533a	1	-0.0212035235017538	0.0382951721549034	-0.00107975408900529	-0.00207570567727089	0.001529760658741	0.0021420877892524	0.102333977818489	1.66738617420197	-1.6067453622818	-0.853806853294373	-0.321383029222488	0.120945513248444	-0.647255957126617	-0.227160051465035	0.548774003982544	-2.76338410377502	0.562903821468353	0.728586792945862	-1.63375544548035
f979b75c.6252.47b7.a621.d078fe3322b3	1	-0.0167838875204325	0.0835499987006187	0.00369771150872111	-0.00252754054963589	-0.00154736742842942	0.00639117136597633	-0.960410833358765	0.731662631034851	-0.813770294189453	-0.00697410758584738	-1.15724205970764	1.63610196113586	-0.0922506526112556	0.0500978790223599	0.0321963354945183	0.554537713527679	0.0859909504652023	0.0065312972292304	-0.00167998904362321
X98f453d8.779e.4abe.98e4.38e8238a66e3	1	-0.0209351517260075	0.00592885166406632	0.000175899622263387	-0.00102693773806095	-0.00656893569976091	-0.0108333481475711	-0.273737460374832	-0.547078132629395	0.254837483167648	2.76157569885254	-0.550393402576447	-0.0110807605087757	-0.370494306087494	-0.843987345695496	2.35733509063721	-0.0563649274408817	0.625393509864807	2.3110363483429	0.513251841068268
X7476ffde.9bbf.40f1.b24c.2420d877efd5	1	-0.018848080188036	0.0255613476037979	0.00468403985723853	-0.00280188978649676	-0.00154167436994612	0.0126428734511137	-0.537655532360077	1.32581663131714	1.68878161907196	0.873737454414368	-0.68830680847168	0.952615082263947	-1.35815560817719	-1.95278358459473	-0.282711327075958	0.371334314346314	-0.315481394529343	0.258562088012695	-1.94639873504639
